sku,product_type,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,order_lead_time,order_quantity,shipping_time,shipping_carrier,shipping_cost,supplier_name,location,supplier_lead_time,production_volume,manufacturing_lead_time,manufacturing_cost,inspection_result,defect_rate,transportation_mode,route,transportation_cost,total_operational_cost,net_profit,total_lead_time,daily_demand,safety_stock,rop,stock_status
SKU0,haircare,69.80800554211577,55,802,55986.02044477684,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,236.98852683914305,55749.0319179377,58,2.1972602739726027,7,135,Understock (Reorder)
SKU1,skincare,14.84352327508434,95,736,10924.833130462075,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,546.3989228748305,10378.434207587245,53,2.0164383561643836,7,113,Understock (Reorder)
SKU2,haircare,11.319683293090566,34,8,90.55746634472453,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,180.6627803815354,-90.10531403681088,39,0.02191780821917808219,1,1,Critical / Out of Stock Risk
SKU3,skincare,61.163343016437736,68,83,5076.557470364332,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,292.13046917995507,4784.427001184377,42,0.22739726027397260274,1,11,Normal
SKU4,skincare,4.805496036345893,26,871,4185.587047657273,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,1019.3963402265057,3166.190707430767,8,2.3863013698630137,3,22,Understock (Reorder)
SKU5,haircare,1.6999760138659377,87,147,249.89647403829284,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,296.6718111573516,-46.775337119058776,27,0.40273972602739726027,1,12,Overstock
SKU6,skincare,4.078332863107945,48,65,265.0916361020164,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,139.3349287335708,125.75670736844563,38,0.17808219178082191781,1,8,Normal
SKU7,cosmetics,42.95838438246007,59,426,18300.27174692799,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,903.8707592055755,17396.400987722413,23,1.1671232876712329,3,30,Overstock
SKU8,cosmetics,68.71759674852733,78,150,10307.6395122791,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,520.3848952221128,9787.254617056988,21,0.41095890410958904110,1,10,Understock (Reorder)
SKU9,skincare,64.01573294127854,35,980,62735.41828245297,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,1051.0537084246414,61684.36457402833,52,2.6849315068493151,8,148,Understock (Reorder)
SKU10,skincare,15.707795681912138,11,996,15644.964499184489,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,911.3037416995124,14733.660757484977,23,2.7287671232876712,6,69,Understock (Reorder)
